OBJECTID *,ID,Shape *,gridcode_kWh/m2,DT,DT_PCODE,TS_PCODE,TS_Name,Shape_Length,Shape_Area(sqm),GHI_kWh,GHI_MW
1,1,Polygon,1838,Yangon (North),MMR013D001,MMR013005,Taikkyi,1342.969728,60210.97877,110667800,12.63331
2,2,Polygon,1838,Yangon (North),MMR013D001,MMR013005,Taikkyi,624.019506,11677.54708,21463330,2.450152
3,3,Polygon,1843,Yangon (North),MMR013D001,MMR013005,Taikkyi,1677.405276,79658.73039,146811000,16.75925
4,4,Polygon,1838,Yangon (North),MMR013D001,MMR013005,Taikkyi,687.575771,17092.14911,31415370,3.58623
5,5,Polygon,1838,Yangon (North),MMR013D001,MMR013005,Taikkyi,1723.69982,166657.5645,306316600,34.96765
6,6,Polygon,1832,Yangon (North),MMR013D001,MMR013005,Taikkyi,1321.107148,82685.90445,151480600,17.2923
7,7,Polygon,1833,Yangon (North),MMR013D001,MMR013005,Taikkyi,1743.620962,120096.8178,220137500,25.12985
8,8,Polygon,1833,Yangon (North),MMR013D001,MMR013005,Taikkyi,3865.419218,518726.3899,950825500,108.5417
9,9,Polygon,1834,Yangon (North),MMR013D001,MMR013005,Taikkyi,592.747936,15391.61642,28228220,3.2224
10,10,Polygon,1834,Yangon (North),MMR013D001,MMR013005,Taikkyi,5810.376969,805789.7501,1477818000,168.7007
11,11,Polygon,1834,Yangon (North),MMR013D001,MMR013005,Taikkyi,308.989845,3106.656669,5697609,0.650412
12,12,Polygon,1834,Yangon (North),MMR013D001,MMR013005,Taikkyi,1669.665143,130812.7995,239910700,27.38706
13,13,Polygon,1834,Yangon (North),MMR013D001,MMR013005,Taikkyi,2014.570032,211959.9397,388734500,44.37609
14,14,Polygon,1842,Yangon (North),MMR013D001,MMR013005,Taikkyi,1832.034449,123123.9918,226794400,25.88977
15,15,Polygon,1841,Yangon (North),MMR013D001,MMR013005,Taikkyi,1667.397401,131188.4571,241518000,27.57054
16,16,Polygon,1841,Yangon (North),MMR013D001,MMR013005,Taikkyi,1698.295933,121528.7514,223734400,25.54046
17,17,Polygon,1804,Yangon (North),MMR013D001,MMR013004,Hlegu,983.173247,53768.77349,96998860,11.07293
18,18,Polygon,1805,Yangon (North),MMR013D001,MMR013004,Hlegu,1645.303191,130691.2262,235897700,26.92896
19,19,Polygon,1840,Yangon (North),MMR013D001,MMR013005,Taikkyi,1758.421263,185467.332,341259900,38.95661
20,20,Polygon,1840,Yangon (North),MMR013D001,MMR013005,Taikkyi,2320.424287,310535.3718,571385100,65.22661
21,21,Polygon,1804,Yangon (North),MMR013D001,MMR013004,Hlegu,910.592079,30109.21439,54317020,6.200573
22,22,Polygon,1803,Yangon (North),MMR013D001,MMR013004,Hlegu,300.980576,2231.437805,4023282,0.459279
23,23,Polygon,1847,Yangon (North),MMR013D001,MMR013005,Taikkyi,1258.472315,61710.4557,113979200,13.01132
24,24,Polygon,1798,Yangon (North),MMR013D001,MMR013004,Hlegu,878.677871,35467.71736,63770960,7.279789
25,25,Polygon,1794,Yangon (North),MMR013D001,MMR013004,Hlegu,610.933581,21523.06081,38612370,4.407805
26,26,Polygon,1795,Yangon (North),MMR013D001,MMR013004,Hlegu,778.399897,31042.73675,55721710,6.360926
27,27,Polygon,1797,Yangon (North),MMR013D001,MMR013004,Hlegu,364.924538,7749.27733,13925450,1.589663
28,28,Polygon,1846,Yangon (North),MMR013D001,MMR013005,Taikkyi,2174.876146,258754.5497,477660900,54.5275
29,29,Polygon,1794,Yangon (North),MMR013D001,MMR013004,Hlegu,1607.828886,144738.0973,259660100,29.64157
30,30,Polygon,1795,Yangon (North),MMR013D001,MMR013004,Hlegu,594.678083,7594.241245,13631660,1.556126
31,31,Polygon,1798,Yangon (North),MMR013D001,MMR013004,Hlegu,1242.760073,72758.34965,130819500,14.93373
32,32,Polygon,1793,Yangon (North),MMR013D001,MMR013004,Hlegu,1408.936271,68054.59542,122021900,13.92944
33,33,Polygon,1799,Yangon (North),MMR013D001,MMR013004,Hlegu,404.485398,7515.875153,13521060,1.5435
34,34,Polygon,1795,Yangon (North),MMR013D001,MMR013004,Hlegu,1521.085132,79917.31278,143451600,16.37575
35,35,Polygon,1845,Yangon (North),MMR013D001,MMR013005,Taikkyi,719.137137,19331.00377,35665700,4.071427
36,36,Polygon,1845,Yangon (North),MMR013D001,MMR013005,Taikkyi,2311.267176,312846.5728,577201900,65.89063
37,37,Polygon,1838,Yangon (North),MMR013D001,MMR013005,Taikkyi,1484.63722,112202.4291,206228100,23.54202
38,38,Polygon,1814,Yangon (North),MMR013D001,MMR013005,Taikkyi,1827.303758,171101.3733,310377900,35.43127
39,39,Polygon,1815,Yangon (North),MMR013D001,MMR013005,Taikkyi,843.630887,38495.06131,69868540,7.97586
40,40,Polygon,1794,Yangon (North),MMR013D001,MMR013004,Hlegu,597.398161,7392.290475,13261770,1.513901
41,41,Polygon,1797,Yangon (North),MMR013D001,MMR013004,Hlegu,1847.224577,181332.9345,325855300,37.19809
42,42,Polygon,1797,Yangon (North),MMR013D001,MMR013004,Hlegu,1862.69828,136526.427,245338000,28.00662
43,43,Polygon,1813,Yangon (North),MMR013D001,MMR013005,Taikkyi,459.25203,7204.217181,13061250,1.49101
44,44,Polygon,1834,Yangon (North),MMR013D001,MMR013005,Taikkyi,2350.384905,347646.9596,637584500,72.78362
45,45,Polygon,1832,Yangon (North),MMR013D001,MMR013005,Taikkyi,558.560326,13551.53145,24826410,2.834065
46,46,Polygon,1832,Yangon (North),MMR013D001,MMR013005,Taikkyi,3376.330613,633311.5782,1160227000,132.446
47,47,Polygon,1844,Yangon (North),MMR013D001,MMR013005,Taikkyi,2143.363752,297324.7853,548266900,62.58754
48,48,Polygon,1834,Yangon (North),MMR013D001,MMR013005,Taikkyi,517.149716,11495.75323,21083210,2.406759
49,49,Polygon,1834,Yangon (North),MMR013D001,MMR013005,Taikkyi,1656.675279,75008.51214,137565600,15.70384
50,50,Polygon,1834,Yangon (North),MMR013D001,MMR013005,Taikkyi,1736.920957,171566.6497,314653200,35.91932
51,51,Polygon,1828,Yangon (North),MMR013D001,MMR013005,Taikkyi,186.072584,1485.092194,2714749,0.309903
52,52,Polygon,1828,Yangon (North),MMR013D001,MMR013005,Taikkyi,511.890489,14702.62076,26876390,3.068081
53,53,Polygon,1828,Yangon (North),MMR013D001,MMR013005,Taikkyi,843.990664,33610.27036,61439580,7.01365
54,54,Polygon,1828,Yangon (North),MMR013D001,MMR013005,Taikkyi,1976.239706,100316.6146,183378800,20.93365
55,55,Polygon,1828,Yangon (North),MMR013D001,MMR013005,Taikkyi,3756.134722,884861.4952,1617527000,184.6492
56,56,Polygon,1828,Yangon (North),MMR013D001,MMR013005,Taikkyi,3376.330613,633311.5782,1157694000,132.1568
57,57,Polygon,1828,Yangon (North),MMR013D001,MMR013005,Taikkyi,2239.064188,296105.3921,541280600,61.79003
58,58,Polygon,1828,Yangon (North),MMR013D001,MMR013005,Taikkyi,2250.887075,316655.7891,578846800,66.0784
59,59,Polygon,1828,Yangon (North),MMR013D001,MMR013005,Taikkyi,3376.330613,633311.5782,1157694000,132.1568
60,60,Polygon,1828,Yangon (North),MMR013D001,MMR013005,Taikkyi,6752.661226,1899934.734,3473081000,396.4704
61,61,Polygon,1828,Yangon (North),MMR013D001,MMR013005,Taikkyi,6865.618031,1701436.666,3110226000,355.0486
62,62,Polygon,1828,Yangon (North),MMR013D001,MMR013005,Taikkyi,3238.501744,368011.6121,672725200,76.79512
63,63,Polygon,1828,Yangon (North),MMR013D001,MMR013005,Taikkyi,7804.470232,1539456.969,2814127000,321.2474
64,64,Polygon,1828,Yangon (North),MMR013D001,MMR013005,Taikkyi,3315.17534,614386.1073,1123098000,128.2075
65,65,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,164.538845,1243.680885,2274692,0.259668
66,66,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,1811.891328,75857.16221,138742800,15.83821
67,67,Polygon,1829,Yangon (North),MMR013D001,MMR013006,Htantabin,1687.763671,155885.7818,285115100,32.54739
68,68,Polygon,1843,Yangon (North),MMR013D001,MMR013005,Taikkyi,2110.110319,202782.7222,373728500,42.66307
69,69,Polygon,1843,Yangon (North),MMR013D001,MMR013005,Taikkyi,2250.887075,316655.7891,583596600,66.62062
70,70,Polygon,1805,Yangon (North),MMR013D001,MMR013004,Hlegu,1888.971307,161192.4186,290952300,33.21373
71,71,Polygon,1804,Yangon (North),MMR013D001,MMR013004,Hlegu,1517.734544,55608.23323,100317300,11.45174
72,72,Polygon,1804,Yangon (North),MMR013D001,MMR013004,Hlegu,3511.033301,467582.3414,843518500,96.29207
73,73,Polygon,1804,Yangon (North),MMR013D001,MMR013004,Hlegu,10.096018,3.813328,6879.243,0.000785
74,74,Polygon,1800,Yangon (North),MMR013D001,MMR013004,Hlegu,2676.989292,315654.0139,568177200,64.86041
